t_lsl,t_rel,ox,oy,oz,dx,dy,dz
1908511.583578,16.479336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.599578,16.495336,0.0075,-0.0023,-0.0333,0.5084,0.02,-0.8609
1908511.615578,16.511336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.632578,16.528336,0.0075,-0.0024,-0.0333,0.5084,0.0205,-0.8609
1908511.648578,16.544336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.665578,16.561336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.684578,16.580336,0.0075,-0.0024,-0.0333,0.5083,0.0204,-0.861
1908511.699578,16.595336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908511.716578,16.612336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.732578,16.628336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.749578,16.645336,0.0075,-0.0024,-0.0332,0.5084,0.0203,-0.8609
1908511.766578,16.662336,0.0075,-0.0024,-0.0333,0.5084,0.0204,-0.8609
1908511.783578,16.679336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.800578,16.696336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.816578,16.712336,0.0075,-0.0024,-0.0333,0.5083,0.0205,-0.8609
1908511.833578,16.729336,0.0075,-0.0024,-0.0333,0.5084,0.0205,-0.8609
1908511.849578,16.745336,0.0075,-0.0024,-0.0333,0.5084,0.0202,-0.8609
1908511.866578,16.762336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.882578,16.778336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
1908511.898578,16.794336,0.0075,-0.0024,-0.0333,0.5084,0.0205,-0.8609
1908511.916578,16.812336,0.0075,-0.0024,-0.0333,0.5084,0.0203,-0.8609
1908511.933578,16.829336,0.0075,-0.0024,-0.0332,0.5085,0.0203,-0.8608
1908511.949578,16.845336,0.0075,-0.0024,-0.0332,0.5084,0.0204,-0.8609
